open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1642809600000,0.05741000,0.05922000,0.04482000,0.05163000,2201946906.00000000,1642895999999,113802780.52692900,364822,1093006165.50000000,56517510.89758200,0
1642896000000,0.05162000,0.05463000,0.05000000,0.05314000,1134085780.00000000,1642982399999,59335676.22277400,175102,565959406.70000000,29615185.61671300,0
1642982400000,0.05315000,0.05315000,0.04385000,0.05142000,2041211328.90000000,1643068799999,97365520.02121900,263929,1028621276.00000000,49091220.89987600,0
1643068800000,0.05138000,0.05430000,0.04954000,0.05363000,930026501.60000000,1643155199999,48596994.08769800,153591,459134205.20000000,24002470.58483800,0
1643155200000,0.05363000,0.05888000,0.05153000,0.05337000,1352063306.10000000,1643241599999,74570023.04290000,242331,672850727.90000000,37141862.10579500,0
1643241600000,0.05337000,0.05461000,0.05003000,0.05237000,866205445.50000000,1643327999999,45206421.87332800,134092,433299309.60000000,22626337.73130400,0
1643328000000,0.05236000,0.05416000,0.05070000,0.05392000,652784304.60000000,1643414399999,34243977.35899400,113985,321857839.30000000,16886656.13759600,0
1643414400000,0.05388000,0.05553000,0.05327000,0.05449000,533858726.50000000,1643500799999,29019264.46605700,89421,259633743.60000000,14112247.92353400,0
1643500800000,0.05451000,0.05561000,0.05150000,0.05256000,509682117.80000000,1643587199999,27341588.29829300,85317,252650759.20000000,13554575.36971000,0
1643587200000,0.05257000,0.05398000,0.05035000,0.05385000,572059942.10000000,1643673599999,29875673.71326100,90072,285035807.90000000,14884032.73277300,0
1643673600000,0.05385000,0.05550000,0.05341000,0.05452000,478230598.50000000,1643759999999,26063779.67525900,88339,237539300.10000000,12950977.51327100,0
1643760000000,0.05455000,0.05641000,0.05149000,0.05192000,655835301.00000000,1643846399999,35403565.62004500,113991,329811196.30000000,17791196.39985900,0
1643846400000,0.05197000,0.05263000,0.05050000,0.05248000,586199389.00000000,1643932799999,30241255.92922800,90979,299275806.60000000,15444327.56261700,0
1643932800000,0.05245000,0.05864000,0.05202000,0.05862000,915645320.70000000,1644019199999,50649092.41026200,171099,470752970.40000000,26039044.14711600,0
1644019200000,0.05862000,0.06121000,0.05759000,0.05909000,758927830.70000000,1644105599999,45170996.34293700,166423,371408406.50000000,22114682.71441600,0
1644105600000,0.05909000,0.06139000,0.05793000,0.06128000,598533978.80000000,1644191999999,35566305.35285800,112107,303220648.10000000,18022054.26167600,0
1644192000000,0.06126000,0.06800000,0.05992000,0.06781000,1057985484.60000000,1644278399999,67854383.74942500,302484,522689181.60000000,33543589.75683700,0
1644278400000,0.06776000,0.06944000,0.06206000,0.06430000,1052316562.50000000,1644364799999,68728979.74532900,254134,506806372.10000000,33108963.55635400,0
1644364800000,0.06430000,0.06820000,0.06300000,0.06701000,589057223.40000000,1644451199999,38712827.65305700,130743,284642370.70000000,18711613.05531700,0
1644451200000,0.06700000,0.06848000,0.06246000,0.06283000,856872827.70000000,1644537599999,56150447.62510500,194810,413169545.80000000,27070864.20606400,0
1644537600000,0.06281000,0.06458000,0.05662000,0.05791000,744703422.70000000,1644623999999,45835646.37736000,165779,359146070.20000000,22114328.53238200,0
1644624000000,0.05792000,0.05920000,0.05560000,0.05757000,614860130.00000000,1644710399999,35203053.02910500,126801,302763848.30000000,17342414.47982700,0
1644710400000,0.05755000,0.05851000,0.05512000,0.05628000,433191669.00000000,1644796799999,24661732.58222300,87136,221409485.80000000,12610035.13713300,0
1644796800000,0.05627000,0.05740000,0.05425000,0.05618000,657779511.90000000,1644883199999,36685068.36710200,111589,314179688.70000000,17520204.14751100,0
1644883200000,0.05619000,0.06113000,0.05558000,0.06107000,576576291.80000000,1644969599999,33981109.80648700,117218,291887212.50000000,17206042.49941500,0
1644969600000,0.06108000,0.06198000,0.05821000,0.06029000,538012828.50000000,1645055999999,32356823.93245200,128383,267245392.10000000,16074989.99906100,0
1645056000000,0.06032000,0.06151000,0.05430000,0.05456000,718817803.40000000,1645142399999,41590349.44570200,143552,354581544.40000000,20532532.96148200,0
1645142400000,0.05458000,0.05611000,0.05248000,0.05317000,660823618.80000000,1645228799999,35925921.09891200,132474,328832177.30000000,17891802.71874200,0
1645228800000,0.05318000,0.05459000,0.05143000,0.05256000,454235234.50000000,1645315199999,24028990.61466800,85006,224884209.00000000,11899941.25560500,0
1645315200000,0.05255000,0.05270000,0.04827000,0.04920000,732506719.40000000,1645401599999,36603609.83765200,119615,364193112.90000000,18197406.97185700,0
1645401600000,0.04923000,0.05166000,0.04488000,0.04522000,1215114479.90000000,1645487999999,59134159.58809700,198384,613067748.00000000,29860820.31203700,0
1645488000000,0.04522000,0.04737000,0.04374000,0.04728000,945275899.80000000,1645574399999,43207224.81719000,136706,476828283.00000000,21800147.26890900,0
1645574400000,0.04728000,0.05000000,0.04533000,0.04549000,878044886.50000000,1645660799999,42041422.73914300,129984,435604707.10000000,20855969.36368100,0
1645660800000,0.04550000,0.04600000,0.03905000,0.04460000,2390877595.00000000,1645747199999,100286428.71473300,305721,1210982020.60000000,50768769.08908700,0
1645747200000,0.04460000,0.04820000,0.04350000,0.04753000,926436704.40000000,1645833599999,42441906.46982400,138383,464657338.30000000,21294988.89634000,0
1645833600000,0.04754000,0.04938000,0.04717000,0.04827000,718710668.10000000,1645919999999,34716736.50934600,112860,356506028.70000000,17221439.04467700,0
1645920000000,0.04828000,0.04920000,0.04448000,0.04552000,858249183.30000000,1646006399999,40205527.99678900,135877,425546149.80000000,19938008.75276400,0
1646006400000,0.04553000,0.05218000,0.04427000,0.05209000,1143496383.70000000,1646092799999,54359199.30986500,176711,555163866.00000000,26446788.01487700,0
